timestamps,TP9,AF7,AF8,TP10,Right AUX
1533222560,58.105,28.32,15.137,12.207,54.199
1533222560,62.012,30.273,43.945,11.719,79.102
1533222560,44.922,30.273,-97.656,11.23,32.715
1533222560,28.809,27.832,-110.352,9.277,29.785
1533222560,35.156,28.809,-73.242,11.23,50.781
1533222560,57.617,36.133,-17.09,16.113,37.109
1533222560,74.219,38.574,42.48,27.832,20.02
1533222560,57.129,33.691,-30.273,34.18,28.32
1533222560,22.949,29.785,-101.074,13.184,64.941
1533222560,20.02,33.203,-92.285,9.277,40.527
1533222560,41.504,33.203,-24.902,15.625,-0.488
1533222560,51.758,29.785,68.359,14.16,37.598
1533222560,47.852,34.18,-29.297,21.973,55.176
1533222560,34.18,36.133,-122.07,17.578,59.57
1533222560,33.691,34.668,-84.473,12.207,81.543
1533222560,52.246,36.133,-20.996,20.508,-8.789
1533222560,62.012,40.039,21.973,21.973,-58.594
1533222560,50.781,36.133,-81.055,14.648,-9.277
1533222560,38.574,34.668,-115.234,16.113,37.598
1533222560,45.41,44.434,-64.941,21.484,18.555
1533222560,59.57,41.992,21.973,23.438,21.973
1533222560,68.359,37.598,62.012,21.484,69.824
1533222560,63.965,48.34,-47.852,20.508,33.203
1533222560,52.734,52.246,-147.949,20.02,14.16
1533222560,58.594,53.223,-100.586,18.555,10.742
1533222560,69.336,53.711,-47.852,21.484,28.32
1533222560,74.219,49.316,10.742,25.879,12.695
1533222560,73.73,47.363,24.414,30.273,41.504
1533222560,62.012,42.969,-127.441,32.227,83.008
1533222560,54.199,39.062,-127.93,33.203,85.938
1533222560,69.336,39.551,-56.152,30.762,62.988
1533222560,91.309,41.016,34.668,34.18,38.086
1533222560,90.332,39.551,36.621,37.598,-5.859
1533222560,71.777,39.062,-101.562,36.133,2.441
1533222560,72.754,37.109,-107.422,35.156,-1.465
1533222560,87.891,38.086,-22.461,31.25,1.953
1533222560,103.027,41.504,39.551,32.715,6.348
1533222560,102.539,34.668,7.812,34.18,3.418
1533222560,80.078,38.086,-97.168,36.133,41.016
1533222560,77.637,50.781,-90.82,44.434,-14.16
1533222560,98.145,61.523,-24.414,50.781,15.137
1533222560,107.91,66.406,32.227,58.105,87.891
1533222560,107.91,60.547,51.758,56.152,77.637
1533222560,96.68,62.012,-34.668,48.828,53.711
1533222560,86.426,69.336,-73.242,46.875,19.043
1533222560,88.379,64.453,-64.453,42.48,32.227
1533222560,105.957,62.012,-4.883,43.945,65.43
1533222560,113.77,69.336,81.543,49.805,25.391
1533222560,98.145,70.801,-29.297,55.664,28.32
1533222560,83.008,64.941,-80.078,49.316,57.129
1533222560,89.844,62.012,-66.406,40.039,16.602
1533222560,107.422,62.5,15.625,42.969,9.766
1533222560,110.352,54.688,41.016,45.898,-4.395
1533222560,88.379,46.387,-95.215,38.086,-34.668
1533222560,63.477,41.504,-116.211,32.715,-6.836
1533222560,64.941,37.598,-58.594,29.785,-8.789
1533222560,85.449,33.203,-23.438,28.32,-36.621
1533222560,88.379,29.785,41.016,30.762,-45.898
1533222560,72.754,28.809,-20.02,26.855,-12.695
1533222560,64.941,28.32,-128.906,21.973,25.879
1533222560,60.547,21.973,-99.121,18.555,60.059
1533222560,62.5,20.02,-14.16,14.648,80.566
1533222560,72.754,22.461,28.32,16.602,30.762
1533222560,58.105,19.043,-50.293,15.137,2.93
1533222560,40.527,16.113,-156.25,11.719,-30.762
1533222560,47.363,18.066,-117.188,10.742,-30.762
1533222560,57.617,17.09,-49.316,6.836,22.949
1533222560,69.824,16.602,20.996,10.742,-0.488
1533222560,70.312,18.066,34.18,15.625,-2.93
1533222560,53.223,20.996,-94.727,14.648,37.109
1533222560,45.41,17.578,-109.863,14.648,19.043
1533222560,57.617,17.09,-26.855,14.648,2.441
1533222560,71.289,23.438,41.992,20.508,42.48
1533222560,67.871,22.461,-21.484,19.043,7.324
1533222560,44.434,24.414,-111.328,13.672,-14.648
1533222560,34.668,31.25,-91.797,9.277,60.059
1533222560,54.688,31.25,-51.758,7.812,52.734
1533222560,67.871,27.344,11.719,9.766,24.414
1533222560,62.012,21.484,13.184,7.324,57.617
1533222560,45.41,25.391,-75.684,9.766,66.895
1533222560,35.645,34.668,-102.539,12.207,38.574
1533222560,40.039,32.715,-83.008,8.789,41.016
1533222560,55.664,31.25,7.324,12.207,37.109
1533222560,60.547,35.156,36.621,17.578,36.133
1533222560,46.387,33.691,-109.863,13.184,-17.09
1533222560,31.25,29.297,-94.727,0.977,-75.195
1533222560,36.133,30.273,-49.805,4.395,75.195
1533222560,58.594,32.227,-0.488,13.672,134.766
1533222560,63.965,24.902,56.641,25.391,32.227
1533222560,57.129,20.508,-97.168,35.645,-3.906
1533222560,44.922,33.203,-113.77,19.043,23.438
1533222560,44.434,40.039,-45.898,0.977,28.809
1533222560,66.895,39.062,28.32,4.883,0.488
1533222560,79.102,39.551,49.805,11.23,-5.859
1533222560,67.871,39.551,-58.105,7.324,46.387
1533222560,59.082,42.48,-107.91,12.207,80.566
1533222560,69.824,41.504,-84.473,20.508,73.73
1533222560,91.309,41.992,-15.137,27.344,52.734
1533222560,92.773,43.457,63.477,28.809,48.828
1533222560,74.219,38.574,-8.789,21.973,47.852
1533222560,71.289,35.156,-108.398,29.297,89.844
1533222560,80.566,33.691,-100.098,41.016,43.945
1533222560,93.262,28.809,-30.762,40.039,6.836
1533222560,95.703,28.809,61.523,40.527,45.898
1533222560,89.844,30.762,9.277,43.945,56.152
1533222560,75.684,29.785,-115.723,40.039,20.996
1533222560,74.707,35.645,-86.426,39.062,0.488
1533222560,89.355,33.691,12.695,41.504,3.906
1533222560,91.309,26.855,66.406,41.504,0
1533222560,90.332,26.367,-8.789,38.086,32.715
1533222560,79.102,28.809,-115.234,32.227,12.695
1533222560,67.871,27.344,-75.195,26.367,37.598
1533222560,76.172,27.344,4.883,26.367,15.137
1533222560,92.285,27.344,36.621,31.738,-41.992
1533222560,91.309,24.414,-2.441,33.203,-43.945
1533222560,70.312,21.484,-76.66,29.785,-34.668
1533222560,66.895,22.949,-63.477,31.25,-74.219
1533222560,72.266,24.902,-48.828,33.691,-42.969
1533222560,77.637,23.926,38.086,32.715,28.809
1533222560,74.219,24.414,73.242,31.25,17.09
1533222560,58.594,26.855,-85.938,31.738,-5.859
1533222560,48.828,24.902,-82.52,30.762,25.391
1533222560,56.152,24.902,-26.367,30.273,36.621
1533222560,84.473,25.879,50.781,38.086,27.832
1533222560,84.473,23.926,26.855,40.039,10.254
1533222560,61.523,21.484,-95.703,32.715,-29.297
1533222560,57.129,21.973,-71.289,27.344,0.977
1533222560,63.965,25.391,-25.879,25.879,24.414
1533222560,81.543,22.949,53.223,31.25,48.828
1533222560,89.355,21.484,123.047,38.086,107.422
1533222560,75.684,27.344,-47.363,39.551,77.637
1533222560,64.941,26.367,-94.238,33.203,71.289
1533222560,69.824,24.414,-65.43,27.832,52.734
1533222560,86.914,28.32,19.043,31.25,30.762
1533222560,88.867,26.367,61.035,30.762,47.852
1533222560,67.383,31.25,-37.109,31.738,43.457
1533222560,50.781,28.809,-95.703,27.832,54.688
1533222560,54.199,17.09,-98.633,20.02,-9.766
1533222560,71.289,19.531,25.391,22.949,43.457
1533222560,73.242,18.066,80.078,24.902,69.824
1533222560,55.176,15.137,-12.207,22.949,41.504
1533222560,47.852,19.531,-59.57,22.949,77.148
1533222560,54.199,22.461,-73.73,24.414,13.672
1533222560,73.242,22.461,16.602,31.25,-15.137
1533222560,83.496,18.555,86.914,45.41,29.297
1533222560,71.777,13.184,-19.043,51.758,44.434
1533222560,47.852,25.391,-85.449,34.668,17.09
1533222560,36.621,35.156,-28.809,20.02,12.207
1533222560,62.5,31.738,49.805,27.832,68.848
1533222560,92.773,39.062,68.359,41.504,28.809
1533222560,84.961,39.062,34.18,41.992,-25.879
1533222560,63.965,33.691,-22.461,35.156,-4.883
1533222560,66.406,39.551,-6.836,37.598,41.992
1533222560,80.078,38.574,0,36.621,60.547
1533222560,97.168,32.227,102.051,37.109,31.738
1533222560,100.586,32.715,127.441,43.457,-20.02
1533222560,79.102,32.715,-19.043,37.598,-21.973
1533222560,71.289,33.691,-1.465,35.645,46.387
1533222560,83.008,36.133,58.105,33.691,67.871
1533222560,93.262,35.156,136.719,36.621,5.859
1533222560,90.332,28.32,84.961,39.062,31.738
1533222560,72.754,29.297,-71.289,33.691,31.25
1533222560,65.43,36.621,-22.949,31.25,-8.301
1533222560,85.449,31.25,23.438,31.738,12.695
1533222560,106.934,27.832,92.285,36.133,75.684
1533222560,107.422,30.762,117.188,38.574,2.93
1533222560,91.309,31.25,-20.508,36.621,-56.152
1533222560,79.102,30.762,-37.598,31.25,50.781
1533222560,88.867,34.668,-25.879,34.18,27.344
1533222560,98.633,28.809,66.895,37.109,3.906
1533222561,96.68,27.832,65.43,39.062,23.926
1533222561,85.938,36.621,-37.109,39.062,51.758
1533222561,65.918,34.18,-72.754,35.156,59.57
1533222561,76.172,36.621,-53.223,36.621,20.508
1533222561,98.145,39.551,68.848,38.574,-0.488
1533222561,105.957,41.504,83.984,41.504,-20.996
1533222561,102.539,43.457,-34.18,41.016,-11.23
1533222561,87.402,41.992,-66.895,37.109,23.926
1533222561,86.426,45.898,-60.059,34.668,-12.695
1533222561,102.539,47.852,15.137,36.133,18.066
1533222561,104.492,45.898,99.121,36.133,24.414
1533222561,97.656,48.34,13.184,37.109,-17.578
1533222561,84.961,47.852,-75.684,37.598,51.27
1533222561,76.66,41.016,-55.176,29.297,55.176
1533222561,90.82,33.203,51.27,32.715,-8.301
1533222561,100.098,28.809,70.801,42.969,-41.016
1533222561,95.215,30.273,13.672,45.41,23.926
1533222561,90.332,37.598,-46.875,52.734,62.988
1533222561,79.102,37.598,-26.855,43.945,36.621
1533222561,80.566,34.18,-4.883,24.902,43.945
1533222561,94.238,36.133,67.383,29.297,60.059
1533222561,85.449,38.086,28.809,28.809,18.555
1533222561,74.707,42.48,-81.055,26.855,-25.391
1533222561,76.66,44.922,-40.039,30.273,0.977
1533222561,95.703,47.363,50.293,32.715,14.648
1533222561,106.445,47.852,109.375,37.598,34.668
1533222561,101.074,48.828,14.648,36.133,23.926
1533222561,89.844,48.828,-104.492,33.203,-7.324
1533222561,79.102,46.387,-53.223,31.738,14.16
1533222561,87.891,48.34,57.129,36.133,15.625
1533222561,100.586,45.898,120.117,39.551,38.086
1533222561,95.703,45.41,51.27,39.062,75.195
1533222561,82.52,48.828,-76.66,37.109,-17.09
1533222561,73.242,47.852,-30.762,30.762,-39.551
1533222561,80.078,49.316,-20.02,31.738,-2.441
1533222561,87.402,48.828,51.758,35.645,-1.465
1533222561,80.078,48.828,86.914,32.227,-16.602
1533222561,65.43,54.199,-42.48,32.227,-38.574
1533222561,54.688,48.828,-48.828,25.879,13.184
1533222561,63.965,46.875,-49.316,23.926,38.086
1533222561,79.59,51.27,67.383,27.832,45.898
1533222561,79.59,49.316,102.539,31.738,42.969
1533222561,66.895,51.27,-38.574,31.738,41.016
1533222561,53.223,50.293,-38.086,17.09,25.391
1533222561,56.641,45.41,-21.484,15.625,34.668
1533222561,72.266,46.387,50.293,26.855,24.902
1533222561,77.148,49.316,71.777,27.832,-66.406
1533222561,59.57,43.457,-34.668,25.391,-45.41
1533222561,47.852,41.016,-69.336,24.902,-23.926
1533222561,51.27,41.016,-38.086,27.344,-25.391
1533222561,64.941,37.598,42.969,33.691,15.625
1533222561,73.242,38.574,51.27,33.691,29.785
1533222561,65.43,38.086,-9.277,32.715,91.797
1533222561,57.617,38.574,-38.086,30.762,109.375
1533222561,62.5,41.504,-60.059,31.25,-4.395
1533222561,77.637,37.109,-2.93,38.086,-22.461
1533222561,90.332,32.715,88.867,45.898,44.434
1533222561,80.078,36.133,33.691,47.852,29.297
1533222561,54.688,41.504,-56.641,38.086,-2.441
1533222561,43.945,36.621,-43.945,31.738,-18.555
1533222561,71.777,35.645,47.363,37.109,-4.883
1533222561,100.098,41.992,107.91,40.527,19.043
1533222561,96.191,42.969,3.418,36.621,20.508
1533222561,81.543,44.922,-87.402,36.621,56.152
1533222561,76.66,43.945,-9.766,40.527,78.613
1533222561,95.703,46.875,14.16,37.598,5.371
1533222561,108.398,47.363,90.332,29.297,-36.133
1533222561,96.191,43.945,97.656,29.297,15.137
1533222561,76.172,42.969,-38.574,30.273,71.777
1533222561,66.406,41.016,-33.203,21.973,80.078
1533222561,76.66,39.062,5.371,20.02,63.477
1533222561,86.426,35.645,76.66,22.461,19.043
1533222561,74.219,32.227,64.941,19.043,27.832
1533222561,57.129,33.203,-58.105,19.531,41.016
1533222561,79.59,55.176,-37.598,37.598,36.133
1533222561,94.727,60.059,-9.277,41.504,66.406
1533222561,83.984,47.363,68.848,30.273,-12.207
1533222561,76.172,43.457,97.656,27.344,-31.738
1533222561,67.383,40.039,-41.504,21.484,16.113
1533222561,53.223,36.133,-46.387,19.043,-11.719
1533222561,56.152,34.668,-14.16,20.508,11.23
1533222561,67.383,34.668,53.223,24.414,44.922
1533222561,65.918,31.738,66.406,30.762,13.672
1533222561,45.898,25.879,-58.105,29.785,22.949
1533222561,33.691,31.25,-83.008,28.32,37.598
1533222561,41.992,38.086,-13.184,28.809,110.84
1533222561,54.199,37.109,52.734,24.414,94.238
1533222561,55.176,36.133,24.414,25.391,1.465
1533222561,45.41,37.598,-57.617,29.297,-16.602
1533222561,40.039,39.062,-34.18,19.043,27.832
1533222561,45.41,36.621,-44.922,10.742,69.336
1533222561,63.477,36.133,8.301,17.578,-6.836
1533222561,72.754,38.574,80.566,17.578,-41.016
1533222561,61.035,42.48,-30.273,11.23,-18.066
1533222561,43.457,40.527,-66.895,6.348,20.996
1533222561,36.133,41.016,-64.453,1.465,0
1533222561,44.922,33.203,6.836,8.301,-0.488
1533222561,59.082,20.996,117.676,16.602,44.434
1533222561,50.293,28.809,-11.719,9.277,20.02
1533222561,32.227,33.203,-114.258,-3.418,76.172
1533222561,43.945,36.621,-59.082,-5.371,94.238
1533222561,73.73,38.086,57.129,-0.488,58.594
1533222561,86.426,39.551,85.449,3.906,4.883
1533222561,67.871,41.504,-33.203,4.883,-12.207
1533222561,48.34,43.457,-102.051,0.977,-3.418
1533222561,39.551,39.551,-52.246,-9.277,-24.902
1533222561,42.48,32.715,-8.789,-12.695,37.109
1533222561,52.734,34.18,47.852,-12.695,46.387
1533222561,45.41,35.156,0.488,-11.23,-16.113
1533222561,24.902,32.227,-118.164,-4.395,-17.09
1533222561,24.902,34.668,-94.238,-6.836,0
1533222561,41.504,36.621,-54.688,-3.906,58.105
1533222561,60.059,37.109,47.363,2.93,86.914
1533222561,62.988,39.551,29.785,6.348,31.25
1533222561,42.48,39.551,-95.703,3.906,-1.953
1533222561,32.227,43.945,-68.359,6.836,37.598
1533222561,49.805,46.875,-14.648,18.066,17.578
1533222561,68.359,41.504,54.688,20.996,-19.043
1533222561,70.801,40.527,19.531,14.648,33.203
1533222561,47.852,39.551,-65.918,10.254,63.965
1533222561,35.156,41.016,-78.613,12.695,83.984
1533222561,50.781,46.387,-22.461,9.277,70.801
1533222561,63.477,42.969,54.688,5.859,60.547
1533222561,61.035,37.598,3.906,12.207,42.48
1533222561,45.898,41.992,-47.363,10.742,56.641
1533222561,36.133,39.062,-45.41,-4.395,60.059
1533222561,38.574,36.133,-63.477,-11.23,58.105
1533222561,48.828,36.621,20.996,-4.395,32.715
1533222561,62.988,36.133,61.523,2.441,68.359
1533222561,51.758,36.621,-90.332,7.324,35.156
1533222561,36.621,35.645,-70.801,2.441,-16.113
1533222561,51.27,38.574,-64.941,-1.465,39.551
1533222561,65.918,41.016,-17.09,7.324,-25.391
1533222561,63.965,40.527,106.445,10.742,-36.621
1533222561,54.688,39.062,-37.598,6.348,-8.789
1533222561,43.457,36.621,-127.441,4.395,-58.594
1533222561,50.293,38.574,-42.969,4.883,-46.875
1533222561,67.383,38.086,18.555,0.488,23.926
1533222561,75.684,37.598,93.262,0.488,24.902
1533222561,71.289,35.645,23.438,0,72.754
1533222561,62.012,34.668,-104.492,-3.906,29.785
1533222561,59.082,38.086,-54.688,-4.883,-4.395
1533222561,65.918,35.645,35.645,-4.883,49.805
1533222561,76.66,37.109,81.055,-0.488,110.352
1533222561,68.848,44.922,-7.812,5.371,80.078
1533222561,58.594,49.316,-74.219,5.371,42.969
1533222561,55.176,46.387,-78.613,0.977,20.02
1533222561,59.082,44.434,-5.371,4.395,-32.227
1533222561,63.965,48.828,102.051,12.695,20.508
1533222561,58.105,52.246,14.16,20.02,-13.672
1533222561,45.41,46.875,-74.707,16.113,27.832
